disease,clean_description,recommended_pesticide
Septoria_leaf_spot,inspection reveals severe tiny dark speck appear pale center sporadic yellow halo surround small lesion rapid spot remain le ⅛ inch diameter,Neem oil
Tomato_mosaic_virus,farmer complains sporadic overall plant vigor decrease,Biological predators
Spider_mites_Two_spotted_spider_mite,farmer complains rapid leaf turn bronze curl sudden fruit development may stunted,Sulfur spray
Bacterial_spot,according grower moderate lower leaf drop prematurely,Biological predators
Bacterial_spot,inspection reveals extensive brown streak may appear stem rapid plant growth becomes stunted uneven,Sulfur spray
Spider_mites_Two_spotted_spider_mite,field observation show sudden leaf turn bronze curl,Sulfur spray
Early_blight,inspection reveals visible yellowing appears around brown lesion,Horticultural oil
healthy,agronomist note sporadic unusual odor detected field sudden healthy foliage cover soil evenly,No pesticide needed
Tomato_mosaic_virus,inspection reveals rapid leaf may appear leathery rapid fruit develop uneven ripening notable growth appears stunted twisted,Biological predators
Early_blight,sudden overall growth appears stunted visible yellowing appears around brown lesion sudden spot expand warm humid weather,Horticultural oil
Late_blight,farmer complains clear leaf collapse suddenly without warning sporadic stem turn brown brittle extensive cool moist weather promotes rapid spread,Neem oil
Late_blight,field observation show clear lesion spread quickly cool wet weather,Sulfur spray
Bacterial_spot,notable infected fruit appears pitted rough,Sulfur spray
Septoria_leaf_spot,notable severe infection reduce fruit yield visible plant look generally stressed rapid lower leaf drop early season,Neem oil
Early_blight,farmer complains sudden stem may show sunken brown streak severe dark concentric ring form lower leaf severe overall growth appears stunted,Horticultural oil
Tomato_mosaic_virus,agronomist note clear fruit show irregular color pattern,Biological predators
Late_blight,according grower sudden lesion spread quickly cool wet weather severe edge lesion appear watersoaked greasy,Sulfur spray
healthy,according grower clear healthy foliage cover soil evenly severe sign wilting discoloration sudden plant maintain strong upright growth,No pesticide needed
Tomato_YellowLeaf_Curl_Virus,inspection reveals rapid virus spread via whitefly rapidly sporadic flower often drop without fruit setting,Horticultural oil
Target_Spot,according grower sporadic spot develop yellow halo expand sudden lesion coalesce large blighted zone severe leaf show circular irregular necrotic area,Bacillus subtilis
Bacterial_spot,agronomist note sporadic lower leaf drop early stress sudden infected fruit appears pitted rough notable spot enlarge develop yellow halo,Sulfur spray
Late_blight,field observation show extensive edge lesion appear watersoaked greasy sporadic blight odor noticeable severe infection,Sulfur spray
Septoria_leaf_spot,inspection reveals moderate plant look generally stressed visible lower leaf drop early season clear leaf become thin sparse,Neem oil
Early_blight,notable small dark spot develop concentric ring visible foliage appears scorched curled moderate affected plant exhibit reduced tuber size,Neem oil
Leaf_Mold,according grower sudden disease thrives high humidity poor airflow,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,sudden leaf edge show bright yellow coloring slight overall plant appears dwarfed,Horticultural oil
Spider_mites_Two_spotted_spider_mite,according grower clear leaf appear stippled pale spot extensive leaf surface feel dry rough notable fine yellow dust may visible foliage,Sulfur spray
Spider_mites_Two_spotted_spider_mite,according grower notable fruit development may stunted,Sulfur spray
Spider_mites_Two_spotted_spider_mite,farmer complains slight mite thrive hot dry condition visible plant vigor decline noticeably severe leaf surface feel dry rough,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,visual check indicates severe flower often drop without fruit setting,Horticultural oil
Spider_mites_Two_spotted_spider_mite,clear infestation begin lower leaf rapid leaf appear stippled pale spot,Sulfur spray
Tomato_mosaic_virus,moderate flower formation may reduced sporadic symptom worsen high light condition,Biological predators
Tomato_YellowLeaf_Curl_Virus,farmer report sudden growth becomes stunted bushy extensive leaf appear crumpled thickened sporadic overall plant appears dwarfed,Horticultural oil
healthy,visible healthy foliage cover soil evenly,No pesticide needed
Late_blight,according grower moderate large irregular brown patch appear leaf rapid stem turn brown brittle visible edge lesion look watersoaked,Neem oil
Bacterial_spot,agronomist note moderate plant growth becomes stunted uneven rapid infected fruit appears pitted rough rapid leaf edge become ragged torn,Sulfur spray
Early_blight,inspection reveals moderate plant vigor decrease time visible leaf drop prematurely stress,Horticultural oil
healthy,inspection reveals notable unusual odor detected field,No pesticide needed
Bacterial_spot,rapid leaf develop yellow halo around spot extensive spot sometimes merge larger dead area moderate warm wet weather increase disease spread,Biological predators
Bacterial_spot,according grower visible tiny dark spot appear young leaf visible leaf edge turn brown crack,Biological predators
Spider_mites_Two_spotted_spider_mite,farmer report clear mite thrive hot dry condition moderate plant vigor decline noticeably,Sulfur spray
Septoria_leaf_spot,according grower visible severe infection reduce fruit yield clear spot remain le ⅛ inch diameter,Neem oil
Tomato_mosaic_virus,farmer report notable fruit show irregular color pattern extensive leaf may appear leathery,Biological predators
Leaf_Mold,according grower sudden leaf develop musty odor slight plant growth slows noticeably,Sulfur spray
Tomato_mosaic_virus,farmer report sporadic leaf display mottled light dark green patch slight growth appears stunted twisted,Biological predators
healthy,visual check indicates slight leaf look lush green glossy surface slight fruit cluster wellformed visible stem remain firm robust,No pesticide needed
Bacterial_spot,inspection reveals moderate tiny dark spot appear young leaf moderate lesion become angular watersoaked clear warm wet weather increase disease spread,Biological predators
Bacterial_spot,field observation show slight lower leaf drop early stress sudden spot enlarge develop yellow halo,Sulfur spray
Leaf_Mold,severe leaf curl become brittle sudden lesion merge large yellow area,Sulfur spray
healthy,according grower moderate unusual odor detected field extensive leaf lush green visible spot,No pesticide needed
Leaf_Mold,sudden underside develop fuzzy white olive mold visible lower leaf affected first,Sulfur spray
Septoria_leaf_spot,rapid spot increase rapidly wet condition clear leaf become thin sparse severe growth appears patchy across field,Neem oil
healthy,according grower rapid plant show sign stress pest moderate stem firm unblemished,No pesticide needed
Spider_mites_Two_spotted_spider_mite,farmer report sporadic leaf turn bronze curl,Sulfur spray
Late_blight,field observation show visible leaf collapse suddenly without warning,Neem oil
Bacterial_spot,according grower slight warm weather accelerates disease spread,Sulfur spray
Early_blight,sudden foliage appears scorched curled notable small dark spot develop concentric ring,Neem oil
Early_blight,according grower notable leaf yellow around brown lesion notable foliage appears scorched curled moderate dark spot sometimes appear stem,Neem oil
Late_blight,notable white fungal growth may appear humid condition visible edge lesion appear watersoaked greasy sudden new leaf become infected almost overnight,Sulfur spray
Septoria_leaf_spot,farmer complains severe tiny dark speck appear pale center notable severe infection reduce fruit yield,Neem oil
healthy,agronomist note sudden leaf look lush green glossy surface visible plant stand tall vigorous visible fruit cluster wellformed,No pesticide needed
Early_blight,sudden small dark spot develop concentric ring rapid severe case cause significant leaf loss,Neem oil
Leaf_Mold,field observation show slight disease thrives high humidity poor airflow,Sulfur spray
Bacterial_spot,farmer report sporadic infected fruit show raised scabby lesion,Biological predators
Early_blight,field observation show moderate leaf yellow around brown lesion,Neem oil
Tomato_mosaic_virus,agronomist note moderate symptom worsen high light condition slight virus spread easily plant contact,Biological predators
